geometry,fare_zone,line,name,name:ru,naptan:AtcoCode,network,operator,public_transport,railway,ref:crs,source_ref,station,subway,wheelchair,wikidata,wikipedia,network:website,network:wikidata,wheelchair:description,old_name,operator:wikidata,operator:website,toilets:wheelchair,alt_name,source,start_date,air_conditioning,baby_feeding,level,train,platforms,light_rail,public_transport:version,tram,source:name,wikimedia_commons,network:subway,network:train,source:network,ref:stanox,ref:tiploc,addr:street,electrified,name:fr,loc_name,name:da,name:zh,name:zh-Hans,name:zh-Hant,postal_code,check_date,internet_access,internet_access:fee,not:network:wikidata,addr:city,addr:postcode,name:he,note,name:ar,name:cs,name:de,name:en,name:fa,name:fi,name:gan,name:hu,name:it,name:ja,name:lmo,name:nl,name:no,name:pl,name:uk,name:ur,name:yi,name:yue,layer,owner,ref:crs:underground,naptan:Bearing,naptan:CommonName,naptan:Indicator,naptan:verified,survey:date,usage,tourism,website,operator:subway,operator:train,opening_hours,description,source_ref:network,toilets,addr:housename,name:bn,network:wikidata:Elizabeth line,network:wikidata:National_Rail,ref:crs:crossrail,check_date:wheelchair,ref,source:ref,network:wikidata:Elizabeth_Line,railway:ref,railway:ref:DB,name:et,iata,ref:crs:eurostar,uic_ref,website:departures,internet_access:ssid,name:wuu,airside,fixme,alt_name:ru,note:wheelchair,indoor,addr:suburb,toilets:access,railway:aws,railway:tpws,frequency,gauge,tfl_travelzone,url,voltage,departures_board,covered,location,addr:country,building:levels,internet_access:access,internet_access:operator,noaddress,not:addr:postcode,colour,source:building,name:el,ref:crs:overground,website:overground,website:tube,levels,opening_date,ref:STANOX,ref:nalco,source:alt_name,name:pa,name:pnb,ref:GB:uprn,wheelchair:note,phone,image,shelter,bicycle,entrance,entrance_marker:subway,comment,ref:GB:tfl_uid,access,bicycle:conditional,addr:housenumber,brand,brand:wikidata,brand:wikipedia,fhrs:id,shop,source:addr,destination,description:en,smoking,source:wheelchair,naptan:StopType,source:railway,barrier,foot,amenity,name:bg,exit,exit_to,door,highway,building,nohousenumber,roof:shape
POINT (-0.2055176 51.4033264),,,South Merton,,9100SMERTON,National Rail,Govia Thameslink Railway (Thameslink),station,station,SMO,,,,no,Q3951461,en:South Merton railway station,https://www.nationalrail.co.uk/stations/smo/,Q26334,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-0.2388805 51.5802174),,,Hendon,,9100HDON,National Rail,Govia Thameslink Railway (Thameslink),station,station,HEN,http://en.wikipedia.org/wiki/List_of_London_railway_stations,,,limited,Q2047351,en:Hendon railway station,https://www.nationalrail.co.uk/stations/hen/,Q26334,Step-free southbound only. Access from platform to train by manual boarding ramp.,,,,,,NPE;local knowledge,1868-07-13,,,,yes,,,,,,,,,,,,,,,,,,,,,,wlan,customers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-0.0876094 51.5256284),1,Northern City;Northern,Old Street,Олд-стрит,9100OLDST,National Rail;London Underground,London Underground,station,station,OLD,http://en.wikipedia.org/wiki/List_of_London_railway_stations,subway,yes,no,Q801299,en:Old Street station,https://www.nationalrail.co.uk/stations/old/,Q26334,Steps between lower Northern & higher National Rail station levels. No Lifts.,,,,,,,,,,,yes,,,,,,,London Underground,National Rail,,,,Old Street,,,,Old Street Station,,,,,,,,,London,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (0.0177978 51.409198),,,Bromley North,,9100BROMLYN,National Rail,Southeastern,station,station,BMN,http://en.wikipedia.org/wiki/List_of_London_railway_stations,,,yes,Q2367801,en:Bromley North railway station,https://www.nationalrail.co.uk/stations/bmn/,Q26334,,,Q1696490,https://www.southeasternrailway.co.uk/travel-information/more-travel-help/station-information/stations/bromley-north,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-0.3166378 51.5815255),4,Bakerloo,Kenton,,9100KTON,London Underground;London Overground,London Underground,station,station,KNT,http://en.wikipedia.org/wiki/List_of_London_railway_stations;http://en.wikipedia.org/wiki/London_Overground#Stations;http://en.wikipedia.org/wiki/List_of_London_Underground_stations#cite_note-usage-6,subway,yes,no,Q801001,en:Kenton station,https://www.nationalrail.co.uk/stations/knt/,Q26334,,,,,,,,,,,,,,,,,,,London Overground,London Overground,Sign,72008,KTON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-0.1239491 51.530609),1,Metropolitan;Northern;Piccadilly;Circle;Victoria;Hammersmith & City,King's Cross St Pancras,Кингс-Кросс Сент-Панкрасс,940GZZLUKSX,London Underground,London Underground,station,station,ZKX,http://en.wikipedia.org/wiki/List_of_London_Underground_stations#cite_note-usage-6,subway,yes,yes,Q826120,en:King's Cross St Pancras tube station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,תחנת הרכבת התחתית קינגס קרוס סיינט פנקראס,Official name: King's Cross St Pancras Underground Station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-0.1174351 51.3673338),,,Waddon,,9100WADDON,National Rail,Govia Thameslink Railway (Southern),station,station,WDO,,,,limited,Q2120787,en:Waddon railway station,https://www.nationalrail.co.uk/stations/wdo/,Q26334,Step-free access via side gate to platform 2 (to Sutton). Steps to platform 1 (to London).,,,,,,NPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-0.1225014 51.472211),2,Northern;Victoria,Stockwell,Стокуэлл,9400ZZLUSKW,London Underground,London Underground,station,station,ZSL,https//en.wikipedia.org/wiki/List_of_London_Underground_stations,subway,yes,no,Q1549562,en:Stockwell tube station,,Q20075,Cross-platform interchange in same direction only. No entry or exit.,,,,,,,,,,,,4,,,,,Category:Stockwell tube station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-0.1074866 51.5583839),2,Piccadilly,Arsenal,,9400ZZLUASL,London Underground,London Underground,station,station,ZAL,,subway,yes,no,Q262548,en:Arsenal tube station,,,,,,,,,,,,,,,2,,,,,,,,,,,,,Arsenal,,,阿仙奴站,,,,,,,,,,,,آرسينال,Arsenal,Arsenal,Arsenal,ایستگاه متروی آرسنال,Arsenalin metroasema,阿森納站,Arsenal metróállomás,Arsenal,アーセナル駅,Arsenal,Arsenal,Arsenal,Arsenal,Арсенал,آرسنل ٹیوب اسٹیشن,ארסענאל אונטערגרונט סטאנציע,阿仙奴站,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-0.4459987 51.4590893),6,,Heathrow Terminal 4,,9100HTRWTE4,National Rail;Elizabeth line,Heathrow Express,station,station,HAF,,,,yes,Q5694347,en:Heathrow Terminal 4 railway station,https://www.nationalrail.co.uk/stations/balham/,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-0.1020387 51.378808),,,West Croydon,,9100WCROYDN,National Rail;London Overground,London Overground,station,station,WCY,http://en.wikipedia.org/wiki/List_of_London_railway_stations;http://en.wikipedia.org/wiki/London_Overground#Stations,,,yes,Q801592,en:West Croydon station,https://www.nationalrail.co.uk/stations/wcy/,Q26334,Step-free from street to Overground platform. Ramp to bridge for other platforms. On demand platform to train portable ramps.,,,,,,,,,,,yes,,,,,,,,,Sign,,,,,,,,,,,CR0 2TA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-0.1353308 51.4891579),1,Victoria,Pimlico,Пимлико,9400ZZLUPCO,London Underground,London Underground,station,station,ZPO,,subway,yes,no,Q1473963,en:Pimlico tube station,,Q20075,,,Q20075,,,,,,,,,yes,2,,,,,,,,,,,,,,,,,,,,,wlan,,London Underground,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (0.0549426 51.5087601),,,Beckton Park,,9400ZZDLBPK,Docklands Light Railway,,station,station,ZBJ,http://en.wikipedia.org/wiki/List_of_Docklands_Light_Railway_stations,light_rail,,yes,Q813749,en:Beckton Park DLR station,,,,,,,,,,,,,,,,yes,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-0.0927317 51.3758448),,,East Croydon,,9100ECROYDN,National Rail,Govia Thameslink Railway (Southern),station,station,ECR,http://en.wikipedia.org/wiki/List_of_London_railway_stations,,,yes,Q800699,en:East Croydon station,https://www.nationalrail.co.uk/stations/ecr/,Q26334,Lifts from West entrance & ramps from main George Street concourse to all platforms. Accessible WCs not checked today.,,Q1258373,,yes,,,,,,,yes,6,,,,,,,National Rail,,,,,rail,,,,,,,CR0 1LF,,,,,Croydon,,,,,,,,,,,,,,,,,,,,,,,Network Rail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-0.1431522 51.4963688),1,District;Circle;Victoria,Victoria,Виктория,940GZZLUVIC,London Underground,London Underground,station,station,,,subway,yes,yes,Q985210,en:London Victoria station,,Q20075,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,Q111297173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (0.2516815 51.5589708),6,District,Upminster,,9100UPMNSTR;9100UPMNSP6;9400ZZLUUPM,National Rail;London Underground;London Overground,c2c,station,station,UPM,,subway,yes,yes,Q801547,en:Upminster station,https://www.nationalrail.co.uk/stations/upm/,Q26334,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Station Upminster,,,,,,,,,ZUM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-0.2800532 51.5636297),4,Metropolitan;Jubilee,Wembley Park,,9400ZZLUWYP,London Underground,London Underground,station,station,ZWY,,subway,yes,yes,Q956849,en:Wembley Park tube station,,,,,,,,,naptan_import;survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,Wembley Park,86374,no,2013-08-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-0.4318151 51.5930135),,,Willow Lawn,,940GZZRLWLN,,,station,station,,,,,,Q130343514,,,,,,,,,Ruislip Lido Station,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tourism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-0.4290932 51.588726),,,Woody Bay,,940GZZRLWBY,,,station,station,,,,,,Q130343581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tourism,miniature_railway,https://www.ruisliplidorailway.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-0.1064144 51.5648345),2,Piccadilly;Victoria,Finsbury Park,,9100FNPK,National Rail;London Underground,Govia Thameslink Railway (Great Northern),station,station,FPK,http://en.wikipedia.org/wiki/List_of_London_railway_stations;http://en.wikipedia.org/wiki/List_of_London_Underground_stations,subway,yes,yes,Q536796,en:Finsbury Park station,https://www.nationalrail.co.uk/stations/fpk/,Q26334,Step-free access street to train,,,,,,,,,,,yes,,,,,,,London Underground,National Rail,,,FNPK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,London Underground,Great Northern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-0.4274432 51.5970382),,,Haste Hill,,940GZZRLHHL,,,station,station,,,,,,Q130343582,,,,,,,,,,Bing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tourism,miniature_railway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-0.1052701 51.5775578),,,Harringay,,9100HRGY,National Rail,Govia Thameslink Railway (Great Northern),station,station,HGY,,,,no,Q2241512,en:Harringay railway station,https://www.nationalrail.co.uk/stations/hgy/,Q26334,,Harringay West,,,,,,,,,,yes,2,,,,,,,,,,HRGY,,,,,,,,,,,,,,London,N4 1RE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mo-Fr 06:30-14:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-0.1567349 51.5225862),1,Circle;Hammersmith & City;Bakerloo;Jubilee;Metropolitan,Baker Street,Бейкер-стрит,9400ZZLUBST,London Underground,London Underground,station,station,ZBS,,subway,yes,limited,Q616218,en:Baker Street tube station,,,You can change between terminating Metropolitan line trains and trains continuing towards Aldgate. You can change between the Bakerloo line southbound by manual boarding ramp and the Jubilee line southbound. You can also change between the Bakerloo line n,,,,,,http://en.wikipedia.org/wiki/List_of_London_Underground_stations,,,,,,,,,,,,,,,,,,,,Baker Street tube station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-0.175365 51.5154795),1,District;Circle;Bakerloo,Paddington,Паддингтон,9400ZZLUPAC,London Underground,London Underground,station,station,ZPA,,subway,yes,yes,Q214788,"en:Paddington tube station (Bakerloo, Circle and District lines)",,,,Praed Street,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-0.1348189 51.5653116),2;3,Northern,Archway,Арчвей,9400ZZLUACY,London Underground,London Underground,station,station,ZAR,http://en.wikipedia.org/wiki/List_of_London_Underground_stations,subway,yes,no,Q636351,en:Archway tube station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-0.248137 51.5173451),2,Central,East Acton,Ист-Актон,9400ZZLUEAN,London Underground,London Underground,station,station,ZEA,http://en.wikipedia.org/wiki/List_of_London_Underground_stations,subway,yes,no,Q1277721,en:East Acton tube station,,,,,,,,,,1920-08-03,,,,,2,,,,,Category:East Acton tube station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-0.1277852 51.4383281),,,Streatham Hill,Стретем-Хилл,9100STRHILL,National Rail,Govia Thameslink Railway (Southern),station,station,SRH,,,,yes,Q1986365,en:Streatham Hill railway station,https://www.nationalrail.co.uk/stations/srh/,Q26334,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,yes,customers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (0.0215864 51.5808033),4,Central,Snaresbrook,,9400ZZLUSNB,London Underground,London Underground,station,station,ZSN,,subway,yes,no,Q2120057,en:Snaresbrook tube station,,Q20075,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-0.3393309 51.4391919),,,Strawberry Hill,,9100STRWBYH,National Rail,South Western Railway,station,station,STW,,,,yes,Q2561677,en:Strawberry Hill railway station,https://www.nationalrail.co.uk/stations/stw/,Q26334,Ramp at approx 1:14 gradient to Platform 1. Short unevenly-graded floor at approx 1:10 gradient to Platform 2. Step-free access between platforms via full-barrier level crossing.,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-0.4454717 51.4588093),6,Piccadilly,Heathrow Terminal 4,,9100HTRWTM4,London Underground,London Underground,station,station,,,subway,yes,yes,Q1592614,en:Heathrow Terminal 4 tube station,https://www.nationalrail.co.uk/stations/haf/,Q20075,Step-free access street to train,,,,,,,,,,-2,,,,,,https//en.wikipedia.org/wiki/List_of_London_Underground_stations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Heathrow Terminal 4 - Piccadilly Line - Westbound -> to Terminal 1,2,3",https//en.wikipedia.org/wiki/List_of_London_railway_stations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-0.2144055 51.4903477),2,District;Piccadilly,Barons Court,Баронс-Корт,9400ZZLUBSC,London Underground,London Underground,station,station,ZBQ,,subway,yes,no,Q808729,en:Barons Court tube station,,Q20075,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-0.1330981 51.6164256),4,Piccadilly,Arnos Grove,,9400ZZLUASG,London Underground,London Underground,station,station,ZAG,,subway,yes,no,Q697151,en:Arnos Grove tube station,,Q20075,,,Q682520,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-0.1060356 51.5324874),1,Northern,Angel,Энджел,9400ZZLUAGL,London Underground,London Underground,station,station,ZAN,http://en.wikipedia.org/wiki/List_of_London_Underground_stations,subway,yes,no,Q531444,en:Angel tube station,,,,,,,,,,,,,,,,,,,,,,,,,,Islington High Street,,,,Angel Station,,,,,,wlan,,,London,N1 9LQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-0.1426957 51.5394397),2,Northern,Camden Town,Камден-таун,9400ZZLUCTN,London Underground,London Underground,station,station,ZCT,https//en.wikipedia.org/wiki/List_of_London_Underground_stations,subway,yes,limited,Q1028430,en:Camden Town tube station,,,You can change between the northbound platform toward High Barnet and the northbound platform towards Edgeware.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-0.1648137 51.5871881),3,Northern,East Finchley,Ист-Финчли,9400ZZLUEFY,London Underground,London Underground,station,station,ZEF,http://en.wikipedia.org/wiki/List_of_London_Underground_stations,subway,yes,no,Q1277850,en:East Finchley tube station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-0.1458316 51.5776825),3,Northern,Highgate,Хайгейт,9400ZZLUHGT,London Underground,London Underground,station,station,ZHG,,subway,yes,no,Q617824,en:Highgate tube station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-0.138457 51.5568005),2,Northern,Tufnell Park,Тафнелл-парк,9400ZZLUTFP,London Underground,London Underground,station,station,ZTP,,subway,yes,no,Q1780856,en:Tufnell Park tube station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-0.2265541 51.5834006),3;4,Northern,Hendon Central,Хэндон-сентрал,9400ZZLUHCL,London Underground,London Underground,station,station,ZHN,https//en.wikipedia.org/wiki/List_of_London_Underground_stations,subway,yes,yes,Q1308799,en:Hendon Central tube station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-0.1938826 51.650399),5,Northern,High Barnet,,9400ZZLUHBT,London Underground,London Underground,station,station,ZHB,,subway,yes,yes,Q671034,en:High Barnet tube station,,Q20075,Step-free access street to train,,Q682520,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-0.2139731 51.5768177),3,Northern,Brent Cross,Брент-Кросс,9400ZZLUBTX,London Underground,London Underground,station,station,ZBT,https//en.wikipedia.org/wiki/List_of_London_Underground_stations,subway,yes,no,Q1828818,en:Brent Cross tube station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-0.3447996 51.5421177),4,Central,Greenford,,9100GFORD,National Rail;London Underground,London Underground,station,station,GFD,http://en.wikipedia.org/wiki/List_of_London_railway_stations;http://en.wikipedia.org/wiki/List_of_London_Underground_stations,subway,yes,limited,Q800841,en:Greenford station,https://www.nationalrail.co.uk/stations/gfd/,Q26334,Central Line access from platform to train by manual boarding ramp.,,,,,,NPE,,,,1,yes,,,,,,File:Greenford station eastbound look west2.jpg,,,,,,Oldfield Lane,,,,,,,,,,wlan,,,,UB6 8PX,,Surrounding lines made sense of with help from http://www.roscalen.com/signals/Greenford/index.htm,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,https://tfl.gov.uk/tube/stop/940GZZLUGFD/greenford-underground-station/,,,,"Greenford, Network Rail",,,Greenford station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
